Occupation,Total with Earnings,"$1 to $2,499 or loss","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,000 to $12,499","$12,500 to $14,999","$15,000 to $17,499","$17,500 to $19,999","$20,000 to $22,499","$22,500 to $24,999","$25,000 to $27,499","$27,500 to $29,999","$30,000 to $32,499","$32,500 to $34,999","$35,000 to $37,499","$37,500 to $39,999","$40,000 to $42,499","$42,500 to $44,999","$45,000 to $47,499","$47,500 to $49,999","$50,000 to $52,499","$52,500 to $54,999","$55,000 to $57,499","$57,500 to $59,999","$60,000 to $62,499","$62,500 to $64,999","$65,000 to $67,499","$67,500 to $69,999","$70,000 to $72,499","$72,500 to $74,999","$75,000 to $77,499","$77,500 to $79,999","$80,000 to $82,499","$82,500 to $84,999","$85,000 to $87,499","$87,500 to $89,999","$90,000 to $92,499","$92,500 to $94,999","$95,000 to $97,499","$97,500 to $99,999","$100,000 and over",Median earnings,Median earnings,Mean earnings,Mean earnings,Gini ratio,Gini ratio
Sales and office occupations,"21,917",993,920,909,670,"1,199",445,971,583,"1,381",773,"1,304",598,"1,640",479,"1,278",413,"1,081",301,793,355,908,240,479,164,539,106,293,123,307,48,175,60,200,24,98,47,99,44,44,32,799,"30,321",181,"36,034",430,0.438,0.0055
..Sales and related occupations,"8,639",596,564,452,369,665,238,460,337,650,296,421,187,458,107,309,86,282,77,221,74,282,51,139,41,163,28,95,12,114,13,63,34,63,14,43,12,51,25,14,12,526,"22,459",430,"35,497",941,0.541,0.0092
....Supervisors    ,"1,926",49,28,33,15,48,45,75,59,99,60,100,63,165,41,110,34,79,21,100,42,98,11,69,25,52,15,52,7,35,9,22,13,32,9,16,8,21,11,5,0,154,"36,912",991,"47,610","1,692",0.408,0.0151
....Cashiers,"2,860",315,312,283,227,370,109,231,149,284,141,123,49,79,14,47,14,36,8,15,7,19,0,4,1,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,"11,982",275,"14,564",330,0.426,0.0093
....Insurance sales agents,297,3,3,5,0,2,0,2,2,10,11,22,4,43,7,21,7,26,5,24,2,26,10,12,2,4,1,3,0,3,0,0,5,0,0,0,0,4,0,0,6,20,"40,573","1,904","46,017","2,715",0.305,0.0247
....Real estate brokers and sales agents,611,6,12,10,8,29,5,7,12,46,10,21,3,14,11,42,5,54,6,22,3,47,14,21,0,26,0,10,0,18,4,9,3,12,3,17,0,3,0,0,2,92,"45,244","3,433","57,280","3,868",0.423,0.0292
....All other sales and related occupations,"2,946",224,209,121,119,216,78,144,115,210,74,155,69,157,33,88,26,88,35,60,21,93,16,32,13,65,12,29,5,58,0,29,12,19,2,10,4,23,13,9,3,253,"23,697","1,522","42,323","2,158",0.593,0.0172
..Office and administrative support occupations,"13,277",397,357,457,301,534,208,510,247,730,478,883,411,"1,182",372,969,327,798,225,572,281,626,189,340,123,376,78,199,111,193,35,113,26,137,11,55,34,48,20,30,20,273,"32,380",252,"36,384",420,0.361,0.0054
....Supervisors     ,877,9,0,7,5,4,8,12,8,17,4,76,26,60,25,68,19,63,28,43,22,47,18,26,8,45,18,30,8,34,12,22,1,16,4,8,12,15,3,0,2,41,"44,859","1,598","50,661","1,578",0.295,0.015
....Postal workers,241,0,0,2,2,1,4,2,0,12,4,5,0,13,4,20,0,16,3,29,9,14,7,15,8,19,8,9,6,12,0,4,0,5,0,0,0,0,0,4,3,2,"48,473","2,603","49,050","1,760",0.215,0.017
....All other office and administrative support occupations,"12,159",388,357,448,294,530,195,496,239,702,470,801,385,"1,110",342,882,308,719,194,499,251,565,164,300,107,312,52,160,97,147,23,87,25,116,6,47,23,33,16,26,14,231,"31,748",192,"35,102",449,0.365,0.006
"Natural resources, construction, and maintenance occupations",868,67,23,48,12,39,42,38,41,62,32,63,33,74,16,40,15,54,12,12,6,17,0,18,5,48,0,1,4,8,0,4,0,9,1,0,0,0,0,6,5,13,"26,210",769,"32,082","2,358",0.455,0.0365
"..Farming, fishing and forestry occupations",364,48,15,30,8,13,23,21,25,29,15,25,14,22,5,10,2,6,2,4,0,3,0,13,0,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,"19,867","1,258","29,076","5,058",0.568,0.0721
....Supervisors      ,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
"....All other farming, fishing, and forestry occupations",356,48,15,30,8,13,22,21,25,29,15,25,14,22,5,9,2,6,0,0,0,3,0,13,0,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,"19,550","1,278","28,832","5,161",0.574,0.0733
Construction and extraction occupations,324,13,4,16,5,11,15,17,14,17,10,25,6,24,8,26,9,29,6,8,1,6,0,3,5,13,0,1,4,2,0,2,0,5,1,0,0,0,0,6,2,9,"30,773","2,082","35,010","2,416",0.396,0.0306
..Construction,320,13,4,16,5,11,15,17,14,17,10,25,4,24,8,26,9,29,6,8,1,6,0,3,5,13,0,1,3,2,0,2,0,5,1,0,0,0,0,6,2,8,"30,848","2,252","34,879","2,421",0.395,0.0313
....Supervisors       ,13,0,0,6,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
"....Brickmasons, blockmasons, and stonemasons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
....Carpenters,40,0,0,0,3,1,0,2,0,9,2,0,2,7,0,0,0,2,0,0,0,0,0,2,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
....Electricians,23,0,0,0,0,1,2,0,0,0,0,3,0,1,4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,(B),(B),(B),(B),(B),(B)
....Painters and paperhangers,47,2,0,2,0,2,5,0,1,6,6,0,2,0,0,11,0,2,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
....Sheet metal workers,23,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
....Structural iron and steel workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
....All other construction trades,174,11,4,8,2,5,9,8,12,3,3,13,0,17,4,4,4,23,6,3,1,3,0,0,2,6,0,0,2,1,0,0,0,3,1,0,0,0,0,6,2,8,"31,483","2,928","37,971","4,216",0.444,0.043
..Extraction workers,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,(B),(B),(B),(B),(B),(B)
"Installation, maintenance, and repair occupations",180,5,5,2,0,14,4,0,2,16,6,12,13,28,3,4,4,19,4,1,5,8,0,2,0,16,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,"30,993",984,"32,881","2,051",0.297,0.0255
..Supervisors        ,12,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
..Aircraft mechanics and service,8,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
"..Auto, bus, truck, heavy equipment, mechanics",35,1,0,2,0,5,0,0,0,10,0,0,4,0,0,0,0,4,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
"..Heating, air conditioning, and refrigeration mechanics and installers",14,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
..Electrical power-line and telecommunications line installers and repairers,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
..All other occupations,107,4,5,0,0,4,4,0,2,2,5,7,8,22,3,4,2,9,0,0,1,5,0,1,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"31,242",882,"33,273","2,657",0.291,0.0359
"Production, transportation, and material moving occupations","4,590",204,180,195,134,234,152,267,218,391,225,364,167,410,106,290,84,171,53,159,41,128,26,57,21,75,25,29,16,18,5,19,0,12,2,14,0,11,8,6,0,71,"25,647",356,"29,236",883,0.396,0.0152
..Production occupations,"2,646",88,83,84,67,120,70,155,141,220,146,217,109,240,70,180,54,115,30,89,32,80,20,28,8,51,16,26,11,5,5,13,0,9,2,9,0,0,8,3,0,41,"26,695",456,"30,904","1,216",0.378,0.0216
....Supervisors         ,204,0,0,0,0,2,0,8,8,13,3,15,11,13,5,13,2,7,8,5,5,12,3,5,0,18,10,0,0,2,0,0,0,5,2,1,0,0,0,0,0,29,"43,196","5,054","56,233","5,103",0.378,0.0239
....All other occupations ,"2,442",88,83,84,67,118,70,147,133,207,143,202,99,226,65,167,52,108,22,84,26,68,18,23,8,33,6,26,11,3,5,13,0,4,0,8,0,0,8,3,0,12,"25,979",441,"28,788","1,228",0.362,0.0249
....Transportation and material moving occupations,"1,944",115,97,112,67,114,82,112,77,171,79,147,57,170,36,110,30,56,24,70,9,48,6,30,12,24,10,3,5,13,0,6,0,3,0,5,0,11,0,2,0,31,"23,324","1,068","26,966","1,020",0.42,0.016
....Supervisors          ,42,0,0,0,0,3,4,0,0,7,3,2,3,6,2,4,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,(B),(B),(B),(B),(B),(B)
....Aircraft pilots and flight engineers,10,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,(B),(B),(B),(B),(B),(B)
....Air traffic controllers and airfield operation specialists,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
"....Auto, bus, truck, ambulance, taxi drivers",720,36,20,67,21,50,20,36,37,57,30,45,15,67,20,42,19,15,8,27,0,24,4,8,8,11,5,3,1,4,0,4,0,0,0,0,0,4,0,2,0,11,"23,854","1,677","28,170","1,922",0.425,0.033
....Rail and subway workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
....Ship captains and engineers,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
....All other transportation occupations,"1,165",76,77,45,46,61,55,73,39,107,47,100,40,98,14,63,11,41,15,37,9,21,1,21,4,9,5,0,3,9,0,3,0,3,0,5,0,7,0,0,0,17,"22,626","1,164","25,566","1,000",0.409,0.0164
Armed Forces,48,0,7,0,4,0,0,0,5,1,3,1,0,0,1,3,0,3,2,1,0,0,0,1,1,4,0,2,0,0,0,2,0,2,0,3,0,0,0,0,0,0,(B),(B),(B),(B),(B),(B)
